Blatt,Adresse,Formel,Wert
Kalkulation,D33,"=Act_axn_k(x+$A33,MAX(0,t-$A33),Sex,Tafel,Zins,1)",2.90826751253167
Kalkulation,E33,"=B33-P_xt*D33+gamma2*(C33-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D33)",0.7107585469918153
Kalkulation,F33,=VS*E33,71075.8547
Kalkulation,G33,=B33+gamma3*C33,0.8450730391501605
Kalkulation,H33,"=F33+alpha*t*BJB*Act_axn_k(x+A33,MAX(5-A33,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",71075.8547
Kalkulation,I33,"=IF(AND(x+A33>=MinAlterFlex,A33>=n-MinRLZFlex),1,0)",0
Kalkulation,J33,"=IF(OR(A33>n,I33),0,MIN(150,MAX(50,1%*(VS-F33))))",150
Kalkulation,K33,"=MAX(0,H33-J33)",70925.8547
Kalkulation,L33,"=IFERROR(IF(A33>n,0,IF(A33<t,H33/G33,VS)),0)",84106.1676
Kalkulation,A34,18,18
Kalkulation,B34,"=IF(A34<=n,act_nGrAx(x+$A34,MAX(0,n-$A34),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A34,Sex,Tafel,Zins),0)",0.830762893646463
Kalkulation,C34,"=Act_axn_k(x+$A34,MAX(0,n-$A34),Sex,Tafel,Zins,1)",9.839928897983867
Kalkulation,D34,"=Act_axn_k(x+$A34,MAX(0,t-$A34),Sex,Tafel,Zins,1)",1.9682712530712323
Kalkulation,E34,"=B34-P_xt*D34+gamma2*(C34-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D34)",0.7610773983748185
Kalkulation,F34,=VS*E34,76107.7398
Kalkulation,G34,=B34+gamma3*C34,0.8553627158914228
Kalkulation,H34,"=F34+alpha*t*BJB*Act_axn_k(x+A34,MAX(5-A34,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",76107.7398
Kalkulation,I34,"=IF(AND(x+A34>=MinAlterFlex,A34>=n-MinRLZFlex),1,0)",0
Kalkulation,J34,"=IF(OR(A34>n,I34),0,MIN(150,MAX(50,1%*(VS-F34))))",150
Kalkulation,K34,"=MAX(0,H34-J34)",75957.7398
Kalkulation,L34,"=IFERROR(IF(A34>n,0,IF(A34<t,H34/G34,VS)),0)",88977.1537
Kalkulation,A35,19,19
Kalkulation,B35,"=IF(A35<=n,act_nGrAx(x+$A35,MAX(0,n-$A35),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A35,Sex,Tafel,Zins),0)",0.8429798585135433
Kalkulation,C35,"=Act_axn_k(x+$A35,MAX(0,n-$A35),Sex,Tafel,Zins,1)",9.129599654998112
Kalkulation,D35,"=Act_axn_k(x+$A35,MAX(0,t-$A35),Sex,Tafel,Zins,1)",0.9999999999999972
Kalkulation,E35,"=B35-P_xt*D35+gamma2*(C35-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D35)",0.8127383480459093
Kalkulation,F35,=VS*E35,81273.8348
Kalkulation,G35,=B35+gamma3*C35,0.8658038576510386
Kalkulation,H35,"=F35+alpha*t*BJB*Act_axn_k(x+A35,MAX(5-A35,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",81273.8348
Kalkulation,I35,"=IF(AND(x+A35>=MinAlterFlex,A35>=n-MinRLZFlex),1,0)",0
Kalkulation,J35,"=IF(OR(A35>n,I35),0,MIN(150,MAX(50,1%*(VS-F35))))",150
Kalkulation,K35,"=MAX(0,H35-J35)",81123.8348
Kalkulation,L35,"=IFERROR(IF(A35>n,0,IF(A35<t,H35/G35,VS)),0)",93870.9548
Kalkulation,A36,20,20
Kalkulation,B36,"=IF(A36<=n,act_nGrAx(x+$A36,MAX(0,n-$A36),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A36,Sex,Tafel,Zins),0)",0.8553966621309441
Kalkulation,C36,"=Act_axn_k(x+$A36,MAX(0,n-$A36),Sex,Tafel,Zins,1)",8.407651216100595
Kalkulation,D36,"=Act_axn_k(x+$A36,MAX(0,t-$A36),Sex,Tafel,Zins,1)",0
Kalkulation,E36,"=B36-P_xt*D36+gamma2*(C36-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D36)",0.8659062261510698
Kalkulation,F36,=VS*E36,86590.6226
Kalkulation,G36,=B36+gamma3*C36,0.8764157901711956
Kalkulation,H36,"=F36+alpha*t*BJB*Act_axn_k(x+A36,MAX(5-A36,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",86590.6226
Kalkulation,I36,"=IF(AND(x+A36>=MinAlterFlex,A36>=n-MinRLZFlex),1,0)",0
Kalkulation,J36,"=IF(OR(A36>n,I36),0,MIN(150,MAX(50,1%*(VS-F36))))",134.0938
Kalkulation,K36,"=MAX(0,H36-J36)",86456.5288
Kalkulation,L36,"=IFERROR(IF(A36>n,0,IF(A36<t,H36/G36,VS)),0)",100000
Kalkulation,A37,21,21
Kalkulation,B37,"=IF(A37<=n,act_nGrAx(x+$A37,MAX(0,n-$A37),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A37,Sex,Tafel,Zins),0)",0.8680403142570174
Kalkulation,C37,"=Act_axn_k(x+$A37,MAX(0,n-$A37),Sex,Tafel,Zins,1)",7.672513156770438
Kalkulation,D37,"=Act_axn_k(x+$A37,MAX(0,t-$A37),Sex,Tafel,Zins,1)",0
Kalkulation,E37,"=B37-P_xt*D37+gamma2*(C37-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D37)",0.8776309557029804
Kalkulation,F37,=VS*E37,87763.0956
Kalkulation,G37,=B37+gamma3*C37,0.8872215971489436
Kalkulation,H37,"=F37+alpha*t*BJB*Act_axn_k(x+A37,MAX(5-A37,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",87763.0956
Kalkulation,I37,"=IF(AND(x+A37>=MinAlterFlex,A37>=n-MinRLZFlex),1,0)",0
Kalkulation,J37,"=IF(OR(A37>n,I37),0,MIN(150,MAX(50,1%*(VS-F37))))",122.369
Kalkulation,K37,"=MAX(0,H37-J37)",87640.7265
Kalkulation,L37,"=IFERROR(IF(A37>n,0,IF(A37<t,H37/G37,VS)),0)",100000
Kalkulation,A38,22,22
Kalkulation,B38,"=IF(A38<=n,act_nGrAx(x+$A38,MAX(0,n-$A38),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A38,Sex,Tafel,Zins),0)",0.8809423750317524
Kalkulation,C38,"=Act_axn_k(x+$A38,MAX(0,n-$A38),Sex,Tafel,Zins,1)",6.9223504802966715
Kalkulation,D38,"=Act_axn_k(x+$A38,MAX(0,t-$A38),Sex,Tafel,Zins,1)",0
Kalkulation,E38,"=B38-P_xt*D38+gamma2*(C38-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D38)",0.8895953131321233
Kalkulation,F38,=VS*E38,88959.5313
Kalkulation,G38,=B38+gamma3*C38,0.8982482512324941
Kalkulation,H38,"=F38+alpha*t*BJB*Act_axn_k(x+A38,MAX(5-A38,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",88959.5313
Kalkulation,I38,"=IF(AND(x+A38>=MinAlterFlex,A38>=n-MinRLZFlex),1,0)",0
Kalkulation,J38,"=IF(OR(A38>n,I38),0,MIN(150,MAX(50,1%*(VS-F38))))",110.4047
Kalkulation,K38,"=MAX(0,H38-J38)",88849.1266
Kalkulation,L38,"=IFERROR(IF(A38>n,0,IF(A38<t,H38/G38,VS)),0)",100000
Kalkulation,A39,23,23
Kalkulation,B39,"=IF(A39<=n,act_nGrAx(x+$A39,MAX(0,n-$A39),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A39,Sex,Tafel,Zins),0)",0.894140474375828
Kalkulation,C39,"=Act_axn_k(x+$A39,MAX(0,n-$A39),Sex,Tafel,Zins,1)",6.154975275576831
Kalkulation,D39,"=Act_axn_k(x+$A39,MAX(0,t-$A39),Sex,Tafel,Zins,1)",0
Kalkulation,E39,"=B39-P_xt*D39+gamma2*(C39-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D39)",0.901834193470299
Kalkulation,F39,=VS*E39,90183.4193
Kalkulation,G39,=B39+gamma3*C39,0.9095279125647701
Kalkulation,H39,"=F39+alpha*t*BJB*Act_axn_k(x+A39,MAX(5-A39,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",90183.4193
Kalkulation,I39,"=IF(AND(x+A39>=MinAlterFlex,A39>=n-MinRLZFlex),1,0)",0
Kalkulation,J39,"=IF(OR(A39>n,I39),0,MIN(150,MAX(50,1%*(VS-F39))))",98.1658
Kalkulation,K39,"=MAX(0,H39-J39)",90085.2535
Kalkulation,L39,"=IFERROR(IF(A39>n,0,IF(A39<t,H39/G39,VS)),0)",100000
Kalkulation,A40,24,24
Kalkulation,B40,"=IF(A40<=n,act_nGrAx(x+$A40,MAX(0,n-$A40),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A40,Sex,Tafel,Zins),0)",0.9076799898864822
Kalkulation,C40,"=Act_axn_k(x+$A40,MAX(0,n-$A40),Sex,Tafel,Zins,1)",5.367749159457335
Kalkulation,D40,"=Act_axn_k(x+$A40,MAX(0,t-$A40),Sex,Tafel,Zins,1)",0
Kalkulation,E40,"=B40-P_xt*D40+gamma2*(C40-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D40)",0.9143896763358039
Kalkulation,F40,=VS*E40,91438.9676
Kalkulation,G40,=B40+gamma3*C40,0.9210993627851256
Kalkulation,H40,"=F40+alpha*t*BJB*Act_axn_k(x+A40,MAX(5-A40,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",91438.9676
Kalkulation,I40,"=IF(AND(x+A40>=MinAlterFlex,A40>=n-MinRLZFlex),1,0)",0
Kalkulation,J40,"=IF(OR(A40>n,I40),0,MIN(150,MAX(50,1%*(VS-F40))))",85.6103
Kalkulation,K40,"=MAX(0,H40-J40)",91353.3573
Kalkulation,L40,"=IFERROR(IF(A40>n,0,IF(A40<t,H40/G40,VS)),0)",100000
Kalkulation,A41,25,25
Kalkulation,B41,"=IF(A41<=n,act_nGrAx(x+$A41,MAX(0,n-$A41),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A41,Sex,Tafel,Zins),0)",0.9216159182042138
Kalkulation,C41,"=Act_axn_k(x+$A41,MAX(0,n-$A41),Sex,Tafel,Zins,1)",4.557474470126218
Kalkulation,D41,"=Act_axn_k(x+$A41,MAX(0,t-$A41),Sex,Tafel,Zins,1)",0
Kalkulation,E41,"=B41-P_xt*D41+gamma2*(C41-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D41)",0.9273127612918716
Kalkulation,F41,=VS*E41,92731.2761
Kalkulation,G41,=B41+gamma3*C41,0.9330096043795294
Kalkulation,H41,"=F41+alpha*t*BJB*Act_axn_k(x+A41,MAX(5-A41,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",92731.2761
Kalkulation,I41,"=IF(AND(x+A41>=MinAlterFlex,A41>=n-MinRLZFlex),1,0)",1
Kalkulation,J41,"=IF(OR(A41>n,I41),0,MIN(150,MAX(50,1%*(VS-F41))))",0
Kalkulation,K41,"=MAX(0,H41-J41)",92731.2761
Kalkulation,L41,"=IFERROR(IF(A41>n,0,IF(A41<t,H41/G41,VS)),0)",100000
Kalkulation,A42,26,26
Kalkulation,B42,"=IF(A42<=n,act_nGrAx(x+$A42,MAX(0,n-$A42),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A42,Sex,Tafel,Zins),0)",0.936011845465061
Kalkulation,C42,"=Act_axn_k(x+$A42,MAX(0,n-$A42),Sex,Tafel,Zins,1)",3.7204541279596572
Kalkulation,D42,"=Act_axn_k(x+$A42,MAX(0,t-$A42),Sex,Tafel,Zins,1)",0
Kalkulation,E42,"=B42-P_xt*D42+gamma2*(C42-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D42)",0.9406624131250105
Kalkulation,F42,=VS*E42,94066.2413
Kalkulation,G42,=B42+gamma3*C42,0.9453129807849602
Kalkulation,H42,"=F42+alpha*t*BJB*Act_axn_k(x+A42,MAX(5-A42,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",94066.2413
Kalkulation,I42,"=IF(AND(x+A42>=MinAlterFlex,A42>=n-MinRLZFlex),1,0)",1
Kalkulation,J42,"=IF(OR(A42>n,I42),0,MIN(150,MAX(50,1%*(VS-F42))))",0
Kalkulation,K42,"=MAX(0,H42-J42)",94066.2413
Kalkulation,L42,"=IFERROR(IF(A42>n,0,IF(A42<t,H42/G42,VS)),0)",100000
Kalkulation,A43,27,27
Kalkulation,B43,"=IF(A43<=n,act_nGrAx(x+$A43,MAX(0,n-$A43),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A43,Sex,Tafel,Zins),0)",0.9509422995984339
Kalkulation,C43,"=Act_axn_k(x+$A43,MAX(0,n-$A43),Sex,Tafel,Zins,1)",2.8523548662050255
Kalkulation,D43,"=Act_axn_k(x+$A43,MAX(0,t-$A43),Sex,Tafel,Zins,1)",0
Kalkulation,E43,"=B43-P_xt*D43+gamma2*(C43-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D43)",0.9545077431811901
Kalkulation,F43,=VS*E43,95450.7743
Kalkulation,G43,=B43+gamma3*C43,0.9580731867639465
Kalkulation,H43,"=F43+alpha*t*BJB*Act_axn_k(x+A43,MAX(5-A43,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",95450.7743
Kalkulation,I43,"=IF(AND(x+A43>=MinAlterFlex,A43>=n-MinRLZFlex),1,0)",1
Kalkulation,J43,"=IF(OR(A43>n,I43),0,MIN(150,MAX(50,1%*(VS-F43))))",0
Kalkulation,K43,"=MAX(0,H43-J43)",95450.7743
Kalkulation,L43,"=IFERROR(IF(A43>n,0,IF(A43<t,H43/G43,VS)),0)",100000
Kalkulation,A44,28,28
Kalkulation,B44,"=IF(A44<=n,act_nGrAx(x+$A44,MAX(0,n-$A44),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A44,Sex,Tafel,Zins),0)",0.9665000670091556
Kalkulation,C44,"=Act_axn_k(x+$A44,MAX(0,n-$A44),Sex,Tafel,Zins,1)",1.9477818181817932
Kalkulation,D44,"=Act_axn_k(x+$A44,MAX(0,t-$A44),Sex,Tafel,Zins,1)",0
Kalkulation,E44,"=B44-P_xt*D44+gamma2*(C44-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D44)",0.9689347942818828
Kalkulation,F44,=VS*E44,96893.4794
Kalkulation,G44,=B44+gamma3*C44,0.9713695215546101
Kalkulation,H44,"=F44+alpha*t*BJB*Act_axn_k(x+A44,MAX(5-A44,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",96893.4794
Kalkulation,I44,"=IF(AND(x+A44>=MinAlterFlex,A44>=n-MinRLZFlex),1,0)",1
Kalkulation,J44,"=IF(OR(A44>n,I44),0,MIN(150,MAX(50,1%*(VS-F44))))",0
Kalkulation,K44,"=MAX(0,H44-J44)",96893.4794
Kalkulation,L44,"=IFERROR(IF(A44>n,0,IF(A44<t,H44/G44,VS)),0)",100000
Kalkulation,A45,29,29
Kalkulation,B45,"=IF(A45<=n,act_nGrAx(x+$A45,MAX(0,n-$A45),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A45,Sex,Tafel,Zins),0)",0.9828009828009829
Kalkulation,C45,"=Act_axn_k(x+$A45,MAX(0,n-$A45),Sex,Tafel,Zins,1)",0.9999999999999992
Kalkulation,D45,"=Act_axn_k(x+$A45,MAX(0,t-$A45),Sex,Tafel,Zins,1)",0
Kalkulation,E45,"=B45-P_xt*D45+gamma2*(C45-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D45)",0.9840509828009829
Kalkulation,F45,=VS*E45,98405.0983
Kalkulation,G45,=B45+gamma3*C45,0.9853009828009829
Kalkulation,H45,"=F45+alpha*t*BJB*Act_axn_k(x+A45,MAX(5-A45,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",98405.0983
Kalkulation,I45,"=IF(AND(x+A45>=MinAlterFlex,A45>=n-MinRLZFlex),1,0)",1
Kalkulation,J45,"=IF(OR(A45>n,I45),0,MIN(150,MAX(50,1%*(VS-F45))))",0
Kalkulation,K45,"=MAX(0,H45-J45)",98405.0983
Kalkulation,L45,"=IFERROR(IF(A45>n,0,IF(A45<t,H45/G45,VS)),0)",100000
Kalkulation,A46,30,30
Kalkulation,B46,"=IF(A46<=n,act_nGrAx(x+$A46,MAX(0,n-$A46),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A46,Sex,Tafel,Zins),0)",1
Kalkulation,C46,"=Act_axn_k(x+$A46,MAX(0,n-$A46),Sex,Tafel,Zins,1)",0
Kalkulation,D46,"=Act_axn_k(x+$A46,MAX(0,t-$A46),Sex,Tafel,Zins,1)",0
Kalkulation,E46,"=B46-P_xt*D46+gamma2*(C46-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D46)",1
Kalkulation,F46,=VS*E46,100000
Kalkulation,G46,=B46+gamma3*C46,1
Kalkulation,H46,"=F46+alpha*t*BJB*Act_axn_k(x+A46,MAX(5-A46,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",100000
Kalkulation,I46,"=IF(AND(x+A46>=MinAlterFlex,A46>=n-MinRLZFlex),1,0)",1
Kalkulation,J46,"=IF(OR(A46>n,I46),0,MIN(150,MAX(50,1%*(VS-F46))))",0
Kalkulation,K46,"=MAX(0,H46-J46)",100000
Kalkulation,L46,"=IFERROR(IF(A46>n,0,IF(A46<t,H46/G46,VS)),0)",100000
Kalkulation,A47,31,31
Kalkulation,B47,"=IF(A47<=n,act_nGrAx(x+$A47,MAX(0,n-$A47),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A47,Sex,Tafel,Zins),0)",0
Kalkulation,C47,"=Act_axn_k(x+$A47,MAX(0,n-$A47),Sex,Tafel,Zins,1)",0
Kalkulation,D47,"=Act_axn_k(x+$A47,MAX(0,t-$A47),Sex,Tafel,Zins,1)",0
Kalkulation,E47,"=B47-P_xt*D47+gamma2*(C47-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D47)",0
Kalkulation,F47,=VS*E47,0
Kalkulation,G47,=B47+gamma3*C47,0
Kalkulation,H47,"=F47+alpha*t*BJB*Act_axn_k(x+A47,MAX(5-A47,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",0
Kalkulation,I47,"=IF(AND(x+A47>=MinAlterFlex,A47>=n-MinRLZFlex),1,0)",1
Kalkulation,J47,"=IF(OR(A47>n,I47),0,MIN(150,MAX(50,1%*(VS-F47))))",0
Kalkulation,K47,"=MAX(0,H47-J47)",0
Kalkulation,L47,"=IFERROR(IF(A47>n,0,IF(A47<t,H47/G47,VS)),0)",0
Kalkulation,A48,32,32
Kalkulation,B48,"=IF(A48<=n,act_nGrAx(x+$A48,MAX(0,n-$A48),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A48,Sex,Tafel,Zins),0)",0
Kalkulation,C48,"=Act_axn_k(x+$A48,MAX(0,n-$A48),Sex,Tafel,Zins,1)",0
Kalkulation,D48,"=Act_axn_k(x+$A48,MAX(0,t-$A48),Sex,Tafel,Zins,1)",0
Kalkulation,E48,"=B48-P_xt*D48+gamma2*(C48-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D48)",0
Kalkulation,F48,=VS*E48,0
Kalkulation,G48,=B48+gamma3*C48,0
Kalkulation,H48,"=F48+alpha*t*BJB*Act_axn_k(x+A48,MAX(5-A48,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",0
Kalkulation,I48,"=IF(AND(x+A48>=MinAlterFlex,A48>=n-MinRLZFlex),1,0)",1
Kalkulation,J48,"=IF(OR(A48>n,I48),0,MIN(150,MAX(50,1%*(VS-F48))))",0
Kalkulation,K48,"=MAX(0,H48-J48)",0
Kalkulation,L48,"=IFERROR(IF(A48>n,0,IF(A48<t,H48/G48,VS)),0)",0
Kalkulation,A49,33,33
Kalkulation,B49,"=IF(A49<=n,act_nGrAx(x+$A49,MAX(0,n-$A49),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A49,Sex,Tafel,Zins),0)",0
Kalkulation,C49,"=Act_axn_k(x+$A49,MAX(0,n-$A49),Sex,Tafel,Zins,1)",0
Kalkulation,D49,"=Act_axn_k(x+$A49,MAX(0,t-$A49),Sex,Tafel,Zins,1)",0
Kalkulation,E49,"=B49-P_xt*D49+gamma2*(C49-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D49)",0
Kalkulation,F49,=VS*E49,0
Kalkulation,G49,=B49+gamma3*C49,0
Kalkulation,H49,"=F49+alpha*t*BJB*Act_axn_k(x+A49,MAX(5-A49,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",0
Kalkulation,I49,"=IF(AND(x+A49>=MinAlterFlex,A49>=n-MinRLZFlex),1,0)",1
Kalkulation,J49,"=IF(OR(A49>n,I49),0,MIN(150,MAX(50,1%*(VS-F49))))",0
Kalkulation,K49,"=MAX(0,H49-J49)",0
Kalkulation,L49,"=IFERROR(IF(A49>n,0,IF(A49<t,H49/G49,VS)),0)",0
Kalkulation,A50,34,34
Kalkulation,B50,"=IF(A50<=n,act_nGrAx(x+$A50,MAX(0,n-$A50),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A50,Sex,Tafel,Zins),0)",0
Kalkulation,C50,"=Act_axn_k(x+$A50,MAX(0,n-$A50),Sex,Tafel,Zins,1)",0
Kalkulation,D50,"=Act_axn_k(x+$A50,MAX(0,t-$A50),Sex,Tafel,Zins,1)",0
Kalkulation,E50,"=B50-P_xt*D50+gamma2*(C50-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D50)",0
Kalkulation,F50,=VS*E50,0
Kalkulation,G50,=B50+gamma3*C50,0
Kalkulation,H50,"=F50+alpha*t*BJB*Act_axn_k(x+A50,MAX(5-A50,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",0
Kalkulation,I50,"=IF(AND(x+A50>=MinAlterFlex,A50>=n-MinRLZFlex),1,0)",1
Kalkulation,J50,"=IF(OR(A50>n,I50),0,MIN(150,MAX(50,1%*(VS-F50))))",0
Kalkulation,K50,"=MAX(0,H50-J50)",0
Kalkulation,L50,"=IFERROR(IF(A50>n,0,IF(A50<t,H50/G50,VS)),0)",0
Kalkulation,A51,35,35
Kalkulation,B51,"=IF(A51<=n,act_nGrAx(x+$A51,MAX(0,n-$A51),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A51,Sex,Tafel,Zins),0)",0
Kalkulation,C51,"=Act_axn_k(x+$A51,MAX(0,n-$A51),Sex,Tafel,Zins,1)",0
Kalkulation,D51,"=Act_axn_k(x+$A51,MAX(0,t-$A51),Sex,Tafel,Zins,1)",0
Kalkulation,E51,"=B51-P_xt*D51+gamma2*(C51-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D51)",0
Kalkulation,F51,=VS*E51,0
Kalkulation,G51,=B51+gamma3*C51,0
Kalkulation,H51,"=F51+alpha*t*BJB*Act_axn_k(x+A51,MAX(5-A51,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",0
Kalkulation,I51,"=IF(AND(x+A51>=MinAlterFlex,A51>=n-MinRLZFlex),1,0)",1
Kalkulation,J51,"=IF(OR(A51>n,I51),0,MIN(150,MAX(50,1%*(VS-F51))))",0
Kalkulation,K51,"=MAX(0,H51-J51)",0
Kalkulation,L51,"=IFERROR(IF(A51>n,0,IF(A51<t,H51/G51,VS)),0)",0
Kalkulation,A52,36,36
Kalkulation,B52,"=IF(A52<=n,act_nGrAx(x+$A52,MAX(0,n-$A52),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A52,Sex,Tafel,Zins),0)",0
Kalkulation,C52,"=Act_axn_k(x+$A52,MAX(0,n-$A52),Sex,Tafel,Zins,1)",0
Kalkulation,D52,"=Act_axn_k(x+$A52,MAX(0,t-$A52),Sex,Tafel,Zins,1)",0
Kalkulation,E52,"=B52-P_xt*D52+gamma2*(C52-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D52)",0
Kalkulation,F52,=VS*E52,0
Kalkulation,G52,=B52+gamma3*C52,0
Kalkulation,H52,"=F52+alpha*t*BJB*Act_axn_k(x+A52,MAX(5-A52,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",0
Kalkulation,I52,"=IF(AND(x+A52>=MinAlterFlex,A52>=n-MinRLZFlex),1,0)",1
Kalkulation,J52,"=IF(OR(A52>n,I52),0,MIN(150,MAX(50,1%*(VS-F52))))",0
Kalkulation,K52,"=MAX(0,H52-J52)",0
Kalkulation,L52,"=IFERROR(IF(A52>n,0,IF(A52<t,H52/G52,VS)),0)",0
Kalkulation,A53,37,37
Kalkulation,B53,"=IF(A53<=n,act_nGrAx(x+$A53,MAX(0,n-$A53),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A53,Sex,Tafel,Zins),0)",0
Kalkulation,C53,"=Act_axn_k(x+$A53,MAX(0,n-$A53),Sex,Tafel,Zins,1)",0
Kalkulation,D53,"=Act_axn_k(x+$A53,MAX(0,t-$A53),Sex,Tafel,Zins,1)",0
Kalkulation,E53,"=B53-P_xt*D53+gamma2*(C53-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D53)",0
Kalkulation,F53,=VS*E53,0
